ThaiEasyElec's ESPino32                          esp32:esp32:espino32                            
ThaiEasyElec's ESPino32                          espressif:esp32:espino32                        
Trueverit ESP32 Universal IoT Driver             espressif:esp32:esp32-trueverit-iot-driver      
Trueverit ESP32 Universal IoT Driver             esp32:esp32:esp32-trueverit-iot-driver          
Trueverit ESP32 Universal IoT Driver MK II       espressif:esp32:esp32-trueverit-iot-driver-mkii 
Trueverit ESP32 Universal IoT Driver MK II       esp32:esp32:esp32-trueverit-iot-driver-mkii     
Turta IoT Node                                   esp32:esp32:turta_iot_node                      
Turta IoT Node                                   espressif:esp32:turta_iot_node                  
UM FeatherS2                                     esp32:esp32:feathers2                           
UM FeatherS2                                     espressif:esp32:feathers2                       
UM FeatherS2 Neo                                 esp32:esp32:feathers2neo                        
UM FeatherS2 Neo                                 espressif:esp32:feathers2neo                    
UM TinyPICO                                      esp32:esp32:tinypico                            
UM TinyPICO                                      espressif:esp32:tinypico                        
UM TinyS2                                        esp32:esp32:tinys2                              
UM TinyS2                                        espressif:esp32:tinys2                          
VintLabs ESP32 Devkit                            esp32:esp32:vintlabs-devkit-v1                  
VintLabs ESP32 Devkit                            espressif:esp32:vintlabs-devkit-v1              
WEMOS D1 MINI ESP32                              esp32:esp32:d1_mini32                           
WEMOS D1 MINI ESP32                              espressif:esp32:d1_mini32                       
WEMOS LOLIN32                                    esp32:esp32:lolin32                             
WEMOS LOLIN32                                    espressif:esp32:lolin32                         
WEMOS LOLIN32 Lite                               esp32:esp32:lolin32-lite                        
WEMOS LOLIN32 Lite                               espressif:esp32:lolin32-lite                    
WT32-ETH01 Ethernet Module                       espressif:esp32:wt32-eth01                      
WT32-ETH01 Ethernet Module                       esp32:esp32:wt32-eth01                          
WeMos WiFi&Bluetooth Battery                     esp32:esp32:WeMosBat                            
WeMos WiFi&Bluetooth Battery                     espressif:esp32:WeMosBat                        
WiFiduino32                                      esp32:esp32:wifiduino32                         
WiFiduino32                                      espressif:esp32:wifiduino32                     
WiPy 3.0                                         espressif:esp32:wipy3                           
WiPy 3.0                                         esp32:esp32:wipy3                               
Widora AIR                                       espressif:esp32:widora-air                      
Widora AIR                                       esp32:esp32:widora-air                          
XinaBox CW02                                     espressif:esp32:cw02                            
XinaBox CW02                                     esp32:esp32:cw02                                
microS2                                          esp32:esp32:micros2                             
microS2                                          espressif:esp32:micros2                         
u-blox NINA-W10 series (ESP32)                   esp32:esp32:nina_w10                            
u-blox NINA-W10 series (ESP32)                   espressif:esp32:nina_w10                        
uPesy ESP32 Wroom DevKit                         espressif:esp32:uPesy_wroom                     
uPesy ESP32 Wroom DevKit                         esp32:esp32:uPesy_wroom                         
uPesy ESP32 Wrover DevKit                        espressif:esp32:uPesy_wrover                    
uPesy ESP32 Wrover DevKit                        esp32:esp32:uPesy_wrover                        

